format,width,height,aspect_ratio,mode,bit_depth,orientation,file_size,compression,exif_make,exif_model
MPO,5712,4284,1.3333,RGB,8,,9262988,,Apple,iPhone 16
MPO,4032,3024,1.3333,RGB,8,,3564951,,Apple,iPhone 16
MPO,4032,3024,1.3333,RGB,8,,3769276,,Apple,iPhone 16
MPO,4032,3024,1.3333,RGB,8,,4231832,,Apple,iPhone 16
MPO,4032,3024,1.3333,RGB,8,,4283451,,Apple,iPhone 16
MPO,4032,3024,1.3333,RGB,8,,4661744,,Apple,iPhone 16
MPO,4032,3024,1.3333,RGB,8,,4710295,,Apple,iPhone 16
JPEG,2573,1448,1.7769,RGB,8,,1340513,,,
JPEG,2573,1448,1.7769,RGB,8,,1555738,,,
JPEG,2573,1448,1.7769,RGB,8,,3142121,,,
JPEG,2573,1448,1.7769,RGB,8,,1162300,,,
JPEG,2573,1448,1.7769,RGB,8,,2889667,,,
JPEG,2573,1448,1.7769,RGB,8,,1718674,,,
JPEG,2573,1448,1.7769,RGB,8,,2561466,,,
JPEG,2573,1448,1.7769,RGB,8,,2954533,,,
JPEG,2573,1448,1.7769,RGB,8,,1398501,,,
JPEG,2573,1448,1.7769,RGB,8,,1345596,,,
JPEG,2573,1448,1.7769,RGB,8,,1332228,,,
JPEG,1448,2573,0.5628,RGB,8,,1879027,,,
JPEG,1448,2573,0.5628,RGB,8,,1136661,,,
JPEG,1448,2573,0.5628,RGB,8,,1770600,,,
JPEG,1448,2573,0.5628,RGB,8,,1805583,,,
JPEG,1448,2573,0.5628,RGB,8,,1617435,,,
JPEG,1448,2573,0.5628,RGB,8,,1506300,,,
JPEG,2573,1448,1.7769,RGB,8,,1376482,,,
JPEG,2573,1448,1.7769,RGB,8,,2863620,,,
JPEG,2573,1448,1.7769,RGB,8,,3797784,,,
JPEG,2573,1448,1.7769,RGB,8,,2237569,,,
JPEG,2573,1448,1.7769,RGB,8,,3121241,,,
JPEG,2573,1448,1.7769,RGB,8,,2138888,,,
JPEG,2573,1448,1.7769,RGB,8,,2123403,,,
JPEG,2573,1448,1.7769,RGB,8,,2309231,,,
